Substation Feeder Num._Cons._LV Num._Cons._MV Num._Dist._Transf. Size_Dist._Transf._(kVA) Num._Capac. Num._Volt._Reg. Len_LV Len_MV Len_MV_1P Len_MV_2P Len_MV_3P Avg_Year Avg_Land_value_(USD/km2) Rural_(%) Urban_(%) Residential_(%) Commercial_(%) Industrial_(%) County Config_subest
P1RHS3_1247 P1RHS3_1247->P1RDT2874 1124 0 450 12880 0 2 27.5194 99.7566 62.3844 0 37.3722 1984 581.51 100 0 89.5907 1.9573 8.45196 Travis delta-wye
P1RHS3_1247 P1RHS3_1247->P1RDT3467 1093 1 417 12645 0 1 30.4293 93.4207 40.5762 0 52.8445 1980 920.761 100 0 89.9452 1.91956 8.13528 Travis delta-wye
P1RHS3_1247 P1RHS3_1247->P1RDT8207 731 0 299 10065 0 2 22.3909 74.3263 44.9907 0 29.3357 1987 3027.98 100 0 80.985 5.74555 13.2695 Travis delta-wye
P1RHS3_1247 P1RHS3_1247->P1RDT8208 1207 0 501 19055 0 2 32.5221 95.2136 48.4163 0 46.7973 1983 54742.6 100 0 81.4416 7.4565 11.1019 Travis delta-wye
P1RHS4_1247 P1RHS4_1247->P1RDT2300 524 0 201 5535 0 0 8.275 65.8137 31.986 0 33.8277 1990 3432.5 100 0 90.458 1.14504 8.39695 Travis delta-wye
P1RHS4_1247 P1RHS4_1247->P1RDT4715 774 0 306 7780 0 1 19.1676 98.7653 58.7097 0 40.0556 1993 5182.67 100 0 76.0982 1.03359 22.8682 Travis delta-wye
P1RHS4_1247 P1RHS4_1247->P1RDT5185 918 0 310 9660 0 1 18.1264 55.9578 31.9114 0 24.0464 1997 1493.54 100 0 93.1373 1.63399 5.22876 Travis delta-wye
P1RHS4_1247 P1RHS4_1247->P1RDT5481 699 0 268 7350 0 1 13.9807 86.6723 38.0734 0 48.5989 1990 2090.1 100 0 85.2647 3.86266 10.8727 Travis delta-wye
P1RHS4_1247 P1RHS4_1247->P1RDT5851 534 0 195 5020 0 0 10.5141 80.5626 49.9707 0 30.592 1987 4838.65 100 0 86.7041 0.374532 12.9213 Travis delta-wye
P1RHS4_1247 P1RHS4_1247->P1RDT6999 264 0 89 2665 0 0 4.64073 28.258 15.49 0 12.768 1995 2999.29 100 0 85.9848 4.16667 9.84848 Travis delta-wye
P1RHS5_1247 P1RHS5_1247->P1RDT1339 724 0 367 14075 0 1 21.3018 86.4679 39.9183 0 46.5495 1987 29653.2 100 0 66.4365 10.3591 23.2044 Travis delta-wye
P1RHS5_1247 P1RHS5_1247->P1RDT7147 460 0 166 5545 0 0 9.86562 52.5776 21.7352 0 30.8424 1981 926.162 100 0 83.913 5.21739 10.8696 Travis delta-wye
P1RHS5_1247 P1RHS5_1247->P1RDT7748 640 0 261 7930 0 0 18.9944 49.0337 25.9276 0 23.1062 1984 610.086 100 0 84.375 3.125 12.5 Travis delta-wye
P1RHS5_1247 P1RHS5_1247->P1RDT8064 1073 0 436 11400 0 1 29.6715 83.1456 42.5668 0 40.5788 1987 1152.65 100 0 87.698 0.931966 11.37 Travis delta-wye
P1RHS6_1247 P1RHS6_1247->P1RDT476 1104 0 497 12645 0 0 41.8601 65.5379 38.5926 0 26.9453 1989 687.166 100 0 92.7536 0.543478 6.7029 Travis delta-wye
P1RHS6_1247 P1RHS6_1247->P1RDT6561 913 0 398 10160 0 0 26.5454 77.1475 40.1668 0 36.9807 1984 1251.81 100 0 83.5706 0.109529 16.3198 Travis delta-wye
P1RHS7_1247 P1RHS7_1247->P1RDT1161 505 0 194 5480 0 0 16.0251 52.1364 30.5726 0 21.5638 1984 566.244 100 0 83.1683 0.792079 16.0396 Travis delta-wye
P1RHS7_1247 P1RHS7_1247->P1RDT1291 1104 0 392 13185 0 3 26.497 99.9348 48.338 0 51.5968 1986 1438.05 100 0 83.7862 2.44565 13.7681 Travis delta-wye
P1RHS7_1247 P1RHS7_1247->P1RDT7669 230 1 105 3200 0 2 6.2897 49.4509 13.785 0 35.666 1981 19804.5 100 0 58.8745 9.09091 32.0346 Travis delta-wye
