Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P2ULV11    ,3 ,0.42  ,23.73   ,7.80   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT6420  ,59.33   ,19.50  ,150692.20  ,1   ,
P2ULV12    ,1 ,0.42  ,5.96    ,1.21   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT6420  ,14.91   ,3.03   ,35592.13   ,2   ,
P2ULV13    ,1 ,0.42  ,7.58    ,1.54   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,18.94   ,3.85   ,45222.83   ,3   ,
P2ULV14    ,1 ,0.42  ,6.47    ,1.31   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT6420  ,16.18   ,3.29   ,38623.36   ,2   ,
P2ULV15    ,1 ,0.42  ,5.95    ,1.21   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT6420  ,14.87   ,3.02   ,35496.14   ,1   ,
P2ULV16    ,1 ,0.42  ,5.36    ,1.09   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,13.39   ,2.72   ,31965.78   ,1   ,
P2ULV17    ,1 ,0.42  ,7.09    ,1.44   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,17.73   ,3.60   ,42316.54   ,2   ,
P2ULV18    ,1 ,0.42  ,5.21    ,1.06   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,13.04   ,2.65   ,31121.30   ,1   ,
P2ULV19    ,1 ,0.42  ,6.09    ,1.24   ,P2UHS8_1247  ,P2UHS8_1247 -> P2UDT4184  ,15.23   ,3.09   ,36347.96   ,2   ,
P2ULV20    ,1 ,0.42  ,6.53    ,1.33   ,P2UHS8_1247  ,P2UHS8_1247 -> P2UDT4184  ,16.32   ,3.31   ,38964.74   ,2   ,
P2ULV21    ,1 ,0.42  ,6.00    ,1.22   ,P2UHS8_1247  ,P2UHS8_1247 -> P2UDT4184  ,15.01   ,3.05   ,35832.87   ,2   ,
P2ULV22    ,1 ,0.42  ,6.22    ,1.26   ,P2UHS8_1247  ,P2UHS8_1247 -> P2UDT4184  ,15.55   ,3.16   ,37122.92   ,2   ,
P2ULV23    ,1 ,0.42  ,5.29    ,1.07   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,13.21   ,2.68   ,31541.81   ,1   ,
P2ULV24    ,1 ,0.42  ,6.41    ,1.30   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8122  ,16.03   ,3.26   ,38272.45   ,2   ,
P2ULV25    ,1 ,0.42  ,2.44    ,0.50   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT6420  ,6.11    ,1.24   ,23348.79   ,1   ,
P2ULV26    ,1 ,0.42  ,5.12    ,1.04   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,12.80   ,2.60   ,30550.83   ,1   ,
P2ULV27    ,1 ,0.42  ,6.60    ,1.34   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,16.50   ,3.35   ,39384.00   ,2   ,
P2ULV28    ,1 ,0.42  ,5.28    ,1.07   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,13.19   ,2.68   ,31495.21   ,1   ,
P2ULV29    ,1 ,0.42  ,7.08    ,1.44   ,P2UHS8_1247  ,P2UHS8_1247 -> P2UDT6561  ,17.69   ,3.59   ,61079.40   ,1   ,
P2ULV30    ,1 ,0.42  ,12.36   ,2.51   ,P2UHS8_1247  ,P2UHS8_1247 -> P2UDT6561  ,30.89   ,6.27   ,102766.40  ,1   ,
P2ULV31    ,3 ,0.42  ,19.72   ,4.00   ,P2UHS8_1247  ,P2UHS8_1247 -> P2UDT6561  ,49.29   ,10.01  ,158189.00  ,1   ,
P2ULV32    ,1 ,0.42  ,9.83    ,2.00   ,P2UHS8_1247  ,P2UHS8_1247 -> P2UDT6424  ,24.57   ,4.99   ,83718.89   ,1   ,
P2ULV33    ,1 ,0.42  ,9.50    ,1.93   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT5729 ,23.75   ,4.82   ,90779.48   ,4   ,
P2ULV34    ,1 ,0.42  ,5.95    ,1.21   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT5729 ,14.87   ,3.02   ,35495.04   ,1   ,
P2ULV35    ,1 ,0.42  ,5.62    ,1.14   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT5729 ,14.05   ,2.85   ,33540.04   ,1   ,
P2ULV36    ,1 ,0.42  ,5.13    ,1.04   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT5729 ,12.83   ,2.60   ,30620.34   ,1   ,
P2ULV37    ,1 ,0.42  ,5.40    ,1.10   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT5729 ,13.50   ,2.74   ,32217.27   ,1   ,
P2ULV38    ,1 ,0.42  ,5.85    ,1.19   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT5729 ,14.62   ,2.97   ,34896.41   ,1   ,
P2ULV39    ,1 ,0.42  ,5.32    ,1.08   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT5729 ,13.29   ,2.70   ,31720.55   ,1   ,
P2ULV40    ,1 ,0.42  ,6.61    ,1.34   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,16.52   ,3.35   ,39438.00   ,2   ,
P2ULV41    ,1 ,0.42  ,7.99    ,1.62   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,19.97   ,4.05   ,47662.16   ,3   ,
P2ULV42    ,1 ,0.42  ,6.19    ,1.26   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5984 ,15.48   ,3.14   ,36961.72   ,2   ,
P2ULV43    ,1 ,0.42  ,6.11    ,1.24   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5984 ,15.29   ,3.10   ,36489.01   ,2   ,
P2ULV44    ,1 ,0.42  ,6.62    ,1.34   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5984 ,16.55   ,3.36   ,39496.14   ,2   ,
P2ULV45    ,1 ,0.42  ,6.47    ,1.31   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5984 ,16.18   ,3.29   ,38626.44   ,2   ,
P2ULV46    ,1 ,0.42  ,6.65    ,1.35   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5984 ,16.62   ,3.38   ,39678.57   ,2   ,
P2ULV47    ,1 ,0.42  ,3.43    ,0.70   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5984 ,8.58    ,1.74   ,18812.54   ,1   ,
P2ULV48    ,1 ,0.42  ,5.93    ,1.20   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5984 ,14.84   ,3.01   ,35412.84   ,1   ,
P2ULV49    ,1 ,0.42  ,6.81    ,1.38   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5222 ,17.01   ,3.45   ,40615.16   ,2   ,
P2ULV50    ,1 ,0.42  ,5.96    ,1.21   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5984 ,14.90   ,3.03   ,35565.71   ,2   ,
P2ULV51    ,1 ,0.42  ,5.22    ,1.06   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5222 ,13.06   ,2.65   ,31178.70   ,1   ,
P2ULV52    ,1 ,0.42  ,6.01    ,1.22   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,15.03   ,3.05   ,35888.62   ,2   ,
P2ULV53    ,1 ,0.42  ,6.74    ,1.37   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5984 ,16.85   ,3.42   ,40213.65   ,2   ,
P2ULV54    ,1 ,0.42  ,5.46    ,1.11   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,13.64   ,2.77   ,32561.60   ,1   ,
P2ULV55    ,1 ,0.42  ,6.26    ,1.27   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,15.65   ,3.18   ,37366.17   ,2   ,
P2ULV56    ,1 ,0.42  ,5.33    ,1.08   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,13.34   ,2.71   ,31832.13   ,1   ,
P2ULV57    ,1 ,0.42  ,5.79    ,1.18   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,14.48   ,2.94   ,34553.15   ,1   ,
P2ULV58    ,1 ,0.42  ,5.30    ,1.08   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,13.26   ,2.69   ,31643.17   ,1   ,
P2ULV59    ,1 ,0.42  ,5.77    ,1.17   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8078  ,14.42   ,2.93   ,34411.27   ,1   ,
P2ULV60    ,1 ,0.42  ,1.83    ,0.37   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5222 ,4.57    ,0.93   ,14074.28   ,1   ,
P2ULV61    ,1 ,0.42  ,5.59    ,1.13   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5222 ,13.97   ,2.84   ,33342.47   ,1   ,
P2ULV62    ,1 ,0.42  ,6.15    ,1.25   ,P2UHS12_1247 ,P2UHS12_1247 -> P2UDT5222 ,15.36   ,3.12   ,36676.31   ,2   ,
P2ULV63    ,1 ,0.42  ,5.87    ,1.19   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT1587  ,14.67   ,2.98   ,35024.35   ,1   ,
P2ULV64    ,1 ,0.42  ,6.25    ,1.27   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT1587  ,15.63   ,3.17   ,37306.25   ,2   ,
P2ULV65    ,1 ,0.42  ,5.62    ,1.14   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT1587  ,14.05   ,2.85   ,33550.29   ,1   ,
P2ULV66    ,1 ,0.42  ,6.11    ,1.24   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT1587  ,15.28   ,3.10   ,36486.32   ,2   ,
P2ULV67    ,1 ,0.42  ,5.47    ,1.11   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT1587  ,13.68   ,2.78   ,32647.59   ,1   ,
P2ULV68    ,1 ,0.42  ,5.88    ,1.19   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT1587  ,14.71   ,2.99   ,35113.70   ,1   ,
P2ULV69    ,1 ,0.42  ,6.08    ,1.23   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT1587  ,15.20   ,3.09   ,36286.59   ,2   ,
P2ULV70    ,1 ,0.42  ,5.13    ,1.04   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8249  ,12.83   ,2.61   ,30630.85   ,1   ,
P2ULV71    ,1 ,0.42  ,5.65    ,1.15   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8249  ,14.13   ,2.87   ,33727.92   ,1   ,
P2ULV72    ,1 ,0.42  ,7.27    ,1.48   ,P2UHS0_1247  ,P2UHS0_1247 -> P2UDT8249  ,18.17   ,3.69   ,43368.94   ,2   ,
P2ULV73    ,1 ,0.42  ,1.80    ,0.59   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT3821  ,4.50    ,1.48   ,11439.42   ,1   ,
P2ULV74    ,1 ,0.42  ,6.75    ,1.37   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT2957  ,16.87   ,3.43   ,40266.14   ,2   ,
P2ULV75    ,1 ,0.42  ,7.34    ,1.49   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT2957  ,18.34   ,3.72   ,43786.26   ,3   ,
P2ULV76    ,1 ,0.42  ,6.69    ,1.36   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT2957  ,16.72   ,3.40   ,39919.17   ,2   ,
P2ULV77    ,1 ,0.42  ,6.06    ,1.23   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT2957  ,15.16   ,3.08   ,36186.77   ,2   ,
P2ULV78    ,1 ,0.42  ,5.94    ,1.21   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT2957  ,14.85   ,3.01   ,35439.78   ,1   ,
P2ULV79    ,1 ,0.42  ,5.93    ,1.21   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT3821  ,14.84   ,3.01   ,35414.68   ,1   ,
P2ULV80    ,1 ,0.42  ,5.53    ,1.12   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT3821  ,13.82   ,2.81   ,32998.13   ,1   ,
P2ULV81    ,1 ,0.42  ,6.16    ,1.25   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT2957  ,15.41   ,3.13   ,36785.76   ,2   ,
P2ULV82    ,1 ,0.42  ,5.92    ,1.20   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT3821  ,14.79   ,3.00   ,35305.99   ,1   ,
P2ULV83    ,1 ,0.42  ,6.51    ,1.32   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT2957  ,16.27   ,3.30   ,38845.45   ,2   ,
P2ULV84    ,1 ,0.42  ,7.05    ,1.43   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT2957  ,17.64   ,3.58   ,42101.25   ,2   ,
P2ULV85    ,1 ,0.42  ,6.35    ,1.29   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT3821  ,15.87   ,3.22   ,37879.06   ,2   ,
P2ULV86    ,1 ,0.42  ,12.73   ,2.59   ,P2UHS7_1247  ,P2UHS7_1247 -> P2UDT3821  ,31.83   ,6.46   ,105585.20  ,1   ,
P2ULV87    ,1 ,0.42  ,5.25    ,1.07   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8082  ,13.12   ,2.66   ,31325.91   ,1   ,
P2ULV88    ,1 ,0.42  ,5.87    ,1.19   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8082  ,14.67   ,2.98   ,35029.55   ,1   ,
P2ULV89    ,1 ,0.42  ,5.08    ,1.03   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8082  ,12.69   ,2.58   ,30301.79   ,1   ,
P2ULV90    ,1 ,0.42  ,6.05    ,1.23   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8082  ,15.12   ,3.07   ,36087.78   ,2   ,
P2ULV91    ,1 ,0.42  ,5.85    ,1.19   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8082  ,14.63   ,2.97   ,34916.38   ,1   ,
P2ULV92    ,1 ,0.42  ,5.70    ,1.16   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8082  ,14.24   ,2.89   ,33994.45   ,1   ,
P2ULV93    ,1 ,0.42  ,14.73   ,2.99   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8082  ,36.83   ,7.48   ,120641.40  ,1   ,
P2ULV94    ,1 ,0.42  ,5.13    ,1.04   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8512  ,12.83   ,2.61   ,30633.82   ,1   ,
P2ULV95    ,1 ,0.42  ,4.45    ,0.90   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8512  ,11.12   ,2.26   ,26181.03   ,1   ,
P2ULV96    ,1 ,0.42  ,5.70    ,1.16   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8512  ,14.24   ,2.89   ,34002.57   ,1   ,
P2ULV97    ,1 ,0.42  ,6.22    ,1.26   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8512  ,15.54   ,3.16   ,37094.32   ,2   ,
P2ULV98    ,1 ,0.42  ,6.63    ,1.35   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8512  ,16.57   ,3.36   ,39546.85   ,2   ,
P2ULV99    ,1 ,0.42  ,5.48    ,1.11   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT106   ,13.71   ,2.78   ,32730.54   ,1   ,
P2ULV100   ,1 ,0.42  ,5.54    ,1.12   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT106   ,13.84   ,2.81   ,33036.21   ,1   ,
P2ULV101   ,1 ,0.42  ,6.31    ,1.28   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT106   ,15.77   ,3.20   ,37649.71   ,2   ,
P2ULV102   ,1 ,0.42  ,5.56    ,1.13   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8082  ,13.91   ,2.82   ,33199.45   ,1   ,
P2ULV103   ,1 ,0.42  ,5.70    ,1.16   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8082  ,14.26   ,2.90   ,34044.69   ,1   ,
P2ULV104   ,1 ,0.42  ,6.39    ,1.30   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT3455 ,15.97   ,3.24   ,38130.55   ,2   ,
P2ULV105   ,1 ,0.42  ,5.49    ,1.11   ,P2UHS6_1247  ,P2UHS6_1247 -> P2UDT1124  ,13.72   ,2.79   ,47356.74   ,1   ,
P2ULV106   ,1 ,0.42  ,5.34    ,1.08   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT106   ,13.34   ,2.71   ,31849.68   ,1   ,
P2ULV107   ,1 ,0.42  ,5.73    ,1.16   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT106   ,14.33   ,2.91   ,34194.86   ,1   ,
P2ULV108   ,1 ,0.42  ,5.34    ,1.09   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT106   ,13.36   ,2.71   ,31894.37   ,1   ,
P2ULV109   ,1 ,0.42  ,4.20    ,1.38   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT106   ,10.50   ,3.45   ,26667.66   ,1   ,
P2ULV110   ,1 ,0.42  ,5.91    ,1.20   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT106   ,14.78   ,3.00   ,35285.23   ,1   ,
P2ULV111   ,1 ,0.42  ,10.99   ,2.23   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT106   ,27.47   ,5.58   ,84673.12   ,1   ,
P2ULV112   ,3 ,0.42  ,20.08   ,4.08   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT106   ,50.19   ,10.19  ,160911.70  ,1   ,
P2ULV113   ,1 ,0.42  ,6.41    ,1.30   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT7967 ,16.03   ,3.26   ,38273.59   ,2   ,
P2ULV114   ,1 ,0.42  ,5.36    ,1.09   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT7925  ,13.40   ,2.72   ,31990.50   ,1   ,
P2ULV115   ,1 ,0.42  ,11.38   ,2.31   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT3567  ,28.45   ,5.78   ,108747.30  ,5   ,
P2ULV116   ,1 ,0.42  ,6.21    ,1.26   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT7925  ,15.53   ,3.15   ,37064.96   ,2   ,
P2ULV117   ,1 ,0.42  ,4.88    ,0.99   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT7925  ,12.19   ,2.48   ,29102.70   ,1   ,
P2ULV118   ,1 ,0.42  ,5.59    ,1.14   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7295  ,13.98   ,2.84   ,33362.54   ,1   ,
P2ULV119   ,1 ,0.42  ,4.69    ,0.95   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT7925  ,11.73   ,2.38   ,27945.89   ,1   ,
P2ULV120   ,1 ,0.42  ,5.11    ,1.04   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT7925  ,12.78   ,2.60   ,30514.28   ,1   ,
P2ULV121   ,1 ,0.42  ,6.15    ,1.25   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT3567  ,15.38   ,3.12   ,36717.23   ,2   ,
P2ULV122   ,1 ,0.42  ,0.51    ,0.17   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT8516  ,1.28    ,0.42   ,3263.13    ,1   ,
P2ULV123   ,1 ,0.42  ,5.46    ,1.11   ,P2UHS2_1247  ,P2UHS2_1247 -> P2UDT3567  ,13.66   ,2.77   ,32602.84   ,1   ,
P2ULV124   ,3 ,0.42  ,29.41   ,9.67   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7295  ,73.52   ,24.16  ,186740.10  ,1   ,
P2ULV125   ,1 ,0.42  ,5.72    ,1.16   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,14.31   ,2.91   ,34162.25   ,1   ,
P2ULV126   ,1 ,0.42  ,5.93    ,1.20   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,14.83   ,3.01   ,35405.45   ,1   ,
P2ULV127   ,1 ,0.42  ,6.02    ,1.22   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,15.06   ,3.06   ,35951.71   ,2   ,
P2ULV128   ,1 ,0.42  ,5.56    ,1.13   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,13.89   ,2.82   ,33159.13   ,1   ,
P2ULV129   ,1 ,0.42  ,4.76    ,0.97   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,11.89   ,2.41   ,28386.09   ,1   ,
P2ULV130   ,3 ,0.42  ,28.97   ,9.52   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,72.42   ,23.80  ,183953.70  ,1   ,
P2ULV131   ,1 ,0.42  ,5.47    ,1.11   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,13.68   ,2.78   ,32658.24   ,1   ,
P2ULV132   ,1 ,0.42  ,4.91    ,1.00   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,12.28   ,2.49   ,29315.63   ,1   ,
P2ULV133   ,1 ,0.42  ,2.32    ,0.47   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2008  ,5.81    ,1.18   ,17915.30   ,1   ,
P2ULV134   ,1 ,0.42  ,5.89    ,1.20   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2008  ,14.72   ,2.99   ,35132.09   ,1   ,
P2ULV135   ,1 ,0.42  ,5.14    ,1.04   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,12.85   ,2.61   ,30675.80   ,1   ,
P2ULV136   ,1 ,0.42  ,5.15    ,1.05   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,12.87   ,2.61   ,30716.34   ,1   ,
P2ULV137   ,1 ,0.42  ,6.29    ,1.28   ,P2UHS9_1247  ,P2UHS9_1247 -> P2UDT3884  ,15.72   ,3.19   ,37534.46   ,2   ,
P2ULV138   ,1 ,0.42  ,5.77    ,1.17   ,P2UHS9_1247  ,P2UHS9_1247 -> P2UDT3884  ,14.41   ,2.93   ,34404.36   ,1   ,
P2ULV139   ,1 ,0.42  ,4.98    ,1.01   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,12.44   ,2.53   ,29697.54   ,1   ,
P2ULV140   ,1 ,0.42  ,5.30    ,1.08   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,13.25   ,2.69   ,31620.56   ,1   ,
P2ULV141   ,1 ,0.42  ,5.64    ,1.15   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,14.11   ,2.87   ,33683.88   ,1   ,
P2ULV142   ,1 ,0.42  ,5.56    ,1.13   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,13.89   ,2.82   ,33150.67   ,1   ,
P2ULV143   ,1 ,0.42  ,5.72    ,1.16   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,14.31   ,2.91   ,34161.78   ,1   ,
P2ULV144   ,1 ,0.42  ,11.89   ,2.42   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2008  ,29.74   ,6.04   ,99284.91   ,1   ,
P2ULV145   ,3 ,0.42  ,69.80   ,14.17  ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2008  ,174.49  ,35.43  ,535417.60  ,1   ,
P2ULV146   ,1 ,0.42  ,15.88   ,5.22   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT2008  ,39.71   ,13.05  ,100857.20  ,1   ,
P2ULV147   ,1 ,0.42  ,4.78    ,0.97   ,P2UHS5_1247  ,P2UHS5_1247 -> P2UDT7035  ,11.95   ,2.43   ,28513.78   ,1   ,
P2ULV148   ,1 ,0.42  ,7.21    ,1.46   ,P2UHS3_1247  ,P2UHS3_1247 -> P2UDT8444  ,18.02   ,3.66   ,68869.94   ,3   ,
P2ULV149   ,1 ,0.42  ,10.92   ,2.22   ,P2UHS3_1247  ,P2UHS3_1247 -> P2UDT8444  ,27.30   ,5.54   ,104367.50  ,5   ,
P2ULV150   ,1 ,0.42  ,4.77    ,0.97   ,P2UHS3_1247  ,P2UHS3_1247 -> P2UDT8444  ,11.92   ,2.42   ,28452.74   ,1   ,
P2ULV151   ,1 ,0.42  ,6.71    ,1.36   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT3455 ,16.78   ,3.41   ,40058.31   ,2   ,
P2ULV152   ,1 ,0.42  ,5.81    ,1.18   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT3455 ,14.52   ,2.95   ,34667.80   ,1   ,
P2ULV153   ,1 ,0.42  ,8.92    ,1.81   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT3455 ,22.29   ,4.53   ,76862.91   ,1   ,
P2ULV154   ,1 ,0.42  ,6.04    ,1.23   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT3455 ,15.09   ,3.06   ,36023.25   ,2   ,
P2ULV155   ,1 ,0.42  ,2.07    ,0.42   ,P2UHS11_1247 ,P2UHS11_1247 -> P2UDT3455 ,5.17    ,1.05   ,10810.39   ,1   ,
