Node,Code,Phases,NomV_kV,Size_kVAr,Subest,Feeder,
P1UDT15077 ,P1UC53  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT21523  ,
P1UDT456   ,P1UC54  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT21523  ,
P1UMV54    ,P1UC55  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT13121  ,
P1UDT10039 ,P1UC56  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT21819  ,
P1UDT8852  ,P1UC57  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT387    ,
P1UDT20547 ,P1UC58  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT22325  ,
P1UDT22323 ,P1UC59  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT6854   ,
P1UMV57    ,P1UC60  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT13121  ,
P1UDT23401 ,P1UC61  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT25123  ,
P1UDT19371 ,P1UC62  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT6854   ,
P1UDT22680 ,P1UC63  ,3 ,12.47 ,300.00 ,P1UHS9_1247  ,P1UHS9_1247 -> P1UDT21523  ,
P1UMV39    ,P1UC64  ,3 ,12.47 ,450.00 ,P1UHS10_1247 ,P1UHS10_1247 -> P1UDT12591 ,
P1UMV13    ,P1UC65  ,3 ,12.47 ,450.00 ,P1UHS10_1247 ,P1UHS10_1247 -> P1UDT22980 ,
P1UMV48    ,P1UC66  ,3 ,12.47 ,450.00 ,P1UHS10_1247 ,P1UHS10_1247 -> P1UDT12591 ,
P1UMV51    ,P1UC67  ,3 ,12.47 ,300.00 ,P1UHS10_1247 ,P1UHS10_1247 -> P1UDT20878 ,
P1UDT21988 ,P1UC68  ,3 ,12.47 ,300.00 ,P1UHS10_1247 ,P1UHS10_1247 -> P1UDT14394 ,
P1UDT23322 ,P1UC69  ,3 ,12.47 ,300.00 ,P1UHS10_1247 ,P1UHS10_1247 -> P1UDT12591 ,
P1UDT20016 ,P1UC70  ,3 ,12.47 ,300.00 ,P1UHS10_1247 ,P1UHS10_1247 -> P1UDT22980 ,
P1UMV50    ,P1UC71  ,3 ,12.47 ,300.00 ,P1UHS10_1247 ,P1UHS10_1247 -> P1UDT12591 ,
P1UMV32    ,P1UC72  ,3 ,12.47 ,450.00 ,P1UHS11_1247 ,P1UHS11_1247 -> P1UDT12111 ,
P1UMV7     ,P1UC73  ,3 ,12.47 ,300.00 ,P1UHS11_1247 ,P1UHS11_1247 -> P1UDT25287 ,
P1UMV8     ,P1UC74  ,3 ,12.47 ,300.00 ,P1UHS11_1247 ,P1UHS11_1247 -> P1UDT12111 ,
P1UMV25    ,P1UC75  ,3 ,12.47 ,300.00 ,P1UHS11_1247 ,P1UHS11_1247 -> P1UDT25287 ,
P1UMV20    ,P1UC76  ,3 ,12.47 ,300.00 ,P1UHS11_1247 ,P1UHS11_1247 -> P1UDT12111 ,
P1UDT5513  ,P1UC77  ,3 ,12.47 ,450.00 ,P1UHS12_1247 ,P1UHS12_1247 -> P1UDT8568  ,
P1UDT16103 ,P1UC78  ,3 ,12.47 ,450.00 ,P1UHS12_1247 ,P1UHS12_1247 -> P1UDT23867 ,
P1UDT18429 ,P1UC79  ,3 ,12.47 ,450.00 ,P1UHS12_1247 ,P1UHS12_1247 -> P1UDT14325 ,
P1UDT6659  ,P1UC80  ,3 ,12.47 ,300.00 ,P1UHS12_1247 ,P1UHS12_1247 -> P1UDT11164 ,
P1UMV55    ,P1UC81  ,3 ,12.47 ,450.00 ,P1UHS12_1247 ,P1UHS12_1247 -> P1UDT23867 ,
P1UMV37    ,P1UC82  ,3 ,12.47 ,300.00 ,P1UHS12_1247 ,P1UHS12_1247 -> P1UDT23867 ,
P1UDT9321  ,P1UC83  ,3 ,12.47 ,300.00 ,P1UHS12_1247 ,P1UHS12_1247 -> P1UDT8568  ,
P1UDT21277 ,P1UC84  ,3 ,12.47 ,300.00 ,P1UHS12_1247 ,P1UHS12_1247 -> P1UDT14325 ,
P1UDT8960  ,P1UC85  ,3 ,12.47 ,300.00 ,P1UHS12_1247 ,P1UHS12_1247 -> P1UDT23867 ,
P1UMV58    ,P1UC86  ,3 ,12.47 ,300.00 ,P1UHS13_1247 ,P1UHS13_1247 -> P1UDT12530 ,
P1UDT22092 ,P1UC87  ,3 ,12.47 ,450.00 ,P1UHS13_1247 ,P1UHS13_1247 -> P1UDT3522  ,
P1UDT21547 ,P1UC88  ,3 ,12.47 ,300.00 ,P1UHS13_1247 ,P1UHS13_1247 -> P1UDT12530 ,
P1UDT2953  ,P1UC89  ,3 ,12.47 ,300.00 ,P1UHS13_1247 ,P1UHS13_1247 -> P1UDT3522  ,
P1UDT15877 ,P1UC90  ,3 ,12.47 ,300.00 ,P1UHS13_1247 ,P1UHS13_1247 -> P1UDT12530 ,
P1UDT595   ,P1UC91  ,3 ,12.47 ,300.00 ,P1UHS13_1247 ,P1UHS13_1247 -> P1UDT3522  ,
P1UDT19045 ,P1UC92  ,3 ,12.47 ,300.00 ,P1UHS13_1247 ,P1UHS13_1247 -> P1UDT10118 ,
P1UDT1791  ,P1UC93  ,3 ,12.47 ,300.00 ,P1UHS13_1247 ,P1UHS13_1247 -> P1UDT12530 ,
P1UDT13857 ,P1UC94  ,3 ,12.47 ,600.00 ,P1UHS14_1247 ,P1UHS14_1247 -> P1UDT9467  ,
P1UDT24658 ,P1UC95  ,3 ,12.47 ,300.00 ,P1UHS14_1247 ,P1UHS14_1247 -> P1UDT21168 ,
P1UDT11925 ,P1UC96  ,3 ,12.47 ,450.00 ,P1UHS14_1247 ,P1UHS14_1247 -> P1UDT9467  ,
P1UDT23227 ,P1UC97  ,3 ,12.47 ,300.00 ,P1UHS14_1247 ,P1UHS14_1247 -> P1UDT9467  ,
P1UDT6151  ,P1UC98  ,3 ,12.47 ,300.00 ,P1UHS14_1247 ,P1UHS14_1247 -> P1UDT21168 ,
P1UDT6149  ,P1UC99  ,3 ,12.47 ,300.00 ,P1UHS14_1247 ,P1UHS14_1247 -> P1UDT9467  ,
P1UDT13995 ,P1UC100 ,3 ,12.47 ,450.00 ,P1UHS15_1247 ,P1UHS15_1247 -> P1UDT9658  ,
P1UDT23162 ,P1UC101 ,3 ,12.47 ,600.00 ,P1UHS15_1247 ,P1UHS15_1247 -> P1UDT17622 ,
P1UDT11092 ,P1UC102 ,3 ,12.47 ,450.00 ,P1UHS15_1247 ,P1UHS15_1247 -> P1UDT9658  ,
P1UDT23953 ,P1UC103 ,3 ,12.47 ,450.00 ,P1UHS15_1247 ,P1UHS15_1247 -> P1UDT9658  ,
P1UDT18393 ,P1UC104 ,3 ,12.47 ,450.00 ,P1UHS15_1247 ,P1UHS15_1247 -> P1UDT17622 ,
P1UMV34    ,P1UC105 ,3 ,12.47 ,450.00 ,P1UHS16_1247 ,P1UHS16_1247 -> P1UDT22164 ,
P1UDT19209 ,P1UC106 ,3 ,12.47 ,450.00 ,P1UHS16_1247 ,P1UHS16_1247 -> P1UDT16473 ,
P1UDT2088  ,P1UC107 ,3 ,12.47 ,300.00 ,P1UHS16_1247 ,P1UHS16_1247 -> P1UDT11006 ,
P1UDT20162 ,P1UC108 ,3 ,12.47 ,300.00 ,P1UHS16_1247 ,P1UHS16_1247 -> P1UDT11006 ,
P1UDT4280  ,P1UC109 ,3 ,12.47 ,300.00 ,P1UHS16_1247 ,P1UHS16_1247 -> P1UDT16473 ,
P1UDT9903  ,P1UC110 ,3 ,12.47 ,300.00 ,P1UHS16_1247 ,P1UHS16_1247 -> P1UDT22164 ,
P1UDT18113 ,P1UC111 ,3 ,12.47 ,450.00 ,P1UHS17_1247 ,P1UHS17_1247 -> P1UDT19976 ,
P1UDT6138  ,P1UC112 ,3 ,12.47 ,300.00 ,P1UHS17_1247 ,P1UHS17_1247 -> P1UDT19976 ,
P1UDT19803 ,P1UC113 ,3 ,12.47 ,300.00 ,P1UHS17_1247 ,P1UHS17_1247 -> P1UDT21587 ,
P1UDT2504  ,P1UC114 ,3 ,12.47 ,300.00 ,P1UHS17_1247 ,P1UHS17_1247 -> P1UDT19976 ,
P1UMV27    ,P1UC115 ,3 ,12.47 ,300.00 ,P1UHS17_1247 ,P1UHS17_1247 -> P1UDT1947  ,
P1UDT21676 ,P1UC116 ,3 ,12.47 ,450.00 ,P1UHS18_1247 ,P1UHS18_1247 -> P1UDT6910  ,
P1UDT2303  ,P1UC117 ,3 ,12.47 ,300.00 ,P1UHS18_1247 ,P1UHS18_1247 -> P1UDT6910  ,
P1UDT14843 ,P1UC118 ,3 ,12.47 ,300.00 ,P1UHS18_1247 ,P1UHS18_1247 -> P1UDT15617 ,
P1UDT13491 ,P1UC119 ,3 ,12.47 ,300.00 ,P1UHS18_1247 ,P1UHS18_1247 -> P1UDT15617 ,
P1UDT13179 ,P1UC120 ,3 ,12.47 ,300.00 ,P1UHS18_1247 ,P1UHS18_1247 -> P1UDT20846 ,
P1UDT18468 ,P1UC121 ,3 ,12.47 ,450.00 ,P1UHS19_1247 ,P1UHS19_1247 -> P1UDT14631 ,
P1UDT11206 ,P1UC122 ,3 ,12.47 ,450.00 ,P1UHS19_1247 ,P1UHS19_1247 -> P1UDT14631 ,
P1UDT9411  ,P1UC123 ,3 ,12.47 ,300.00 ,P1UHS19_1247 ,P1UHS19_1247 -> P1UDT17263 ,
P1UDT21178 ,P1UC124 ,3 ,12.47 ,450.00 ,P1UHS20_1247 ,P1UHS20_1247 -> P1UDT16446 ,
P1UDT17747 ,P1UC125 ,3 ,12.47 ,450.00 ,P1UHS20_1247 ,P1UHS20_1247 -> P1UDT1456  ,
P1UDT6240  ,P1UC126 ,3 ,12.47 ,450.00 ,P1UHS20_1247 ,P1UHS20_1247 -> P1UDT2578  ,
P1UDT17933 ,P1UC127 ,3 ,12.47 ,300.00 ,P1UHS20_1247 ,P1UHS20_1247 -> P1UDT10621 ,
P1UDT1373  ,P1UC128 ,3 ,12.47 ,300.00 ,P1UHS20_1247 ,P1UHS20_1247 -> P1UDT16446 ,
P1UDT15240 ,P1UC129 ,3 ,12.47 ,300.00 ,P1UHS20_1247 ,P1UHS20_1247 -> P1UDT1456  ,
P1UDT9101  ,P1UC130 ,3 ,12.47 ,300.00 ,P1UHS21_1247 ,P1UHS21_1247 -> P1UDT20780 ,
P1UDT5706  ,P1UC131 ,3 ,12.47 ,300.00 ,P1UHS21_1247 ,P1UHS21_1247 -> P1UDT11662 ,
P1UDT4684  ,P1UC132 ,3 ,12.47 ,300.00 ,P1UHS21_1247 ,P1UHS21_1247 -> P1UDT11662 ,
P1UDT19496 ,P1UC133 ,3 ,12.47 ,300.00 ,P1UHS21_1247 ,P1UHS21_1247 -> P1UDT20780 ,
P1UDT1389  ,P1UC134 ,3 ,12.47 ,300.00 ,P1UHS21_1247 ,P1UHS21_1247 -> P1UDT16206 ,
P1UDT21904 ,P1UC135 ,3 ,12.47 ,300.00 ,P1UHS21_1247 ,P1UHS21_1247 -> P1UDT20780 ,
P1UDT2987  ,P1UC136 ,3 ,12.47 ,600.00 ,P1UHS22_1247 ,P1UHS22_1247 -> P1UDT20099 ,
P1UDT3544  ,P1UC137 ,3 ,12.47 ,450.00 ,P1UHS22_1247 ,P1UHS22_1247 -> P1UDT20099 ,
P1UDT15351 ,P1UC138 ,3 ,12.47 ,300.00 ,P1UHS22_1247 ,P1UHS22_1247 -> P1UDT24311 ,
P1UDT1213  ,P1UC139 ,3 ,12.47 ,300.00 ,P1UHS22_1247 ,P1UHS22_1247 -> P1UDT20099 ,
P1UDT24503 ,P1UC140 ,3 ,12.47 ,450.00 ,P1UHS22_1247 ,P1UHS22_1247 -> P1UDT6863  ,
P1UDT8621  ,P1UC141 ,3 ,12.47 ,300.00 ,P1UHS22_1247 ,P1UHS22_1247 -> P1UDT20099 ,
P1UDT14040 ,P1UC142 ,3 ,12.47 ,450.00 ,P1UHS23_1247 ,P1UHS23_1247 -> P1UDT25139 ,
P1UDT5059  ,P1UC143 ,3 ,12.47 ,300.00 ,P1UHS23_1247 ,P1UHS23_1247 -> P1UDT25139 ,
P1UDT16080 ,P1UC144 ,3 ,12.47 ,300.00 ,P1UHS23_1247 ,P1UHS23_1247 -> P1UDT25139 ,
