Code,Phases,NVolt_kV,DemP_kW,DemQ_kVAr,Subest,Feeder,Pinst_kW,Qinst_kVAr,Yearly_kWh,NumCust,
P1RLV25    ,1 ,0.42  ,6.73    ,1.37   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,16.83   ,3.42   ,40165.06   ,2  ,
P1RLV26    ,1 ,0.42  ,13.83   ,2.81   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,34.58   ,7.02   ,113865.00  ,1  ,
P1RLV27    ,1 ,0.42  ,7.33    ,1.49   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5185 ,18.32   ,3.72   ,43733.70   ,3  ,
P1RLV28    ,1 ,0.42  ,8.91    ,1.81   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5185 ,22.28   ,4.52   ,53180.90   ,4  ,
P1RLV29    ,1 ,0.42  ,7.20    ,1.46   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,18.01   ,3.66   ,42991.87   ,2  ,
P1RLV30    ,1 ,0.42  ,8.12    ,1.65   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,20.30   ,4.12   ,48449.85   ,3  ,
P1RLV31    ,1 ,0.42  ,4.50    ,0.91   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,11.24   ,2.28   ,34658.32   ,1  ,
P1RLV32    ,1 ,0.42  ,9.92    ,2.01   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,24.80   ,5.04   ,59189.57   ,5  ,
P1RLV33    ,1 ,0.42  ,3.63    ,0.74   ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT7669 ,9.07    ,1.84   ,20220.63   ,1  ,
P1RLV34    ,1 ,0.42  ,4.80    ,0.97   ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1161 ,12.00   ,2.44   ,28641.44   ,1  ,
P1RLV35    ,1 ,0.42  ,1.35    ,0.45   ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1161 ,3.39    ,1.11   ,8602.15    ,1  ,
P1RLV36    ,1 ,0.42  ,7.45    ,1.51   ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1291 ,18.64   ,3.78   ,44483.59   ,3  ,
P1RLV37    ,1 ,0.42  ,7.14    ,1.45   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT1528 ,17.85   ,3.62   ,42599.77   ,2  ,
P1RLV38    ,1 ,0.42  ,5.35    ,1.09   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT1528 ,13.37   ,2.71   ,31911.10   ,1  ,
P1RLV39    ,1 ,0.42  ,5.91    ,1.20   ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1291 ,14.77   ,3.00   ,35259.06   ,1  ,
P1RLV40    ,1 ,0.42  ,2.36    ,0.78   ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1291 ,5.90    ,1.94   ,14983.25   ,1  ,
P1RLV41    ,1 ,0.42  ,4.58    ,0.93   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT1528 ,11.45   ,2.32   ,27112.14   ,1  ,
P1RLV42    ,3 ,0.42  ,49.54   ,10.06  ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT1528 ,123.84  ,25.15  ,382802.80  ,1  ,
P1RLV43    ,1 ,0.42  ,6.44    ,1.31   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT1528 ,16.11   ,3.27   ,55621.51   ,1  ,
P1RLV44    ,1 ,0.42  ,4.69    ,0.95   ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1291 ,11.72   ,2.38   ,27913.14   ,1  ,
P1RLV45    ,1 ,0.42  ,2.39    ,0.79   ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1291 ,5.98    ,1.97   ,15188.80   ,1  ,
P1RLV46    ,1 ,0.42  ,6.88    ,1.40   ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1161 ,17.21   ,3.49   ,41073.25   ,2  ,
P1RLV47    ,1 ,0.42  ,5.67    ,1.15   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT3426 ,14.18   ,2.88   ,33838.11   ,1  ,
P1RLV48    ,1 ,0.42  ,8.48    ,1.72   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT3426 ,21.21   ,4.31   ,50624.04   ,3  ,
P1RLV49    ,1 ,0.42  ,7.90    ,1.60   ,P1RHS7_1247 ,P1RHS7_1247 -> P1RDT1161 ,19.74   ,4.01   ,47131.37   ,3  ,
P1RLV50    ,1 ,0.42  ,4.77    ,0.97   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT5663 ,11.93   ,2.42   ,28481.05   ,1  ,
P1RLV51    ,1 ,0.42  ,5.79    ,1.18   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT5663 ,14.47   ,2.94   ,34546.90   ,1  ,
P1RLV52    ,1 ,0.42  ,5.34    ,1.08   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT6854 ,13.35   ,2.71   ,31879.01   ,1  ,
P1RLV53    ,1 ,0.42  ,6.07    ,1.23   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT6854 ,15.18   ,3.08   ,36245.80   ,2  ,
P1RLV54    ,1 ,0.42  ,6.40    ,1.30   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT5663 ,16.01   ,3.25   ,38220.86   ,2  ,
P1RLV55    ,1 ,0.42  ,1.64    ,0.54   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT5663 ,4.10    ,1.35   ,10415.13   ,1  ,
P1RLV56    ,1 ,0.42  ,6.60    ,2.17   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT4805 ,16.49   ,5.42   ,41886.62   ,1  ,
P1RLV57    ,1 ,0.42  ,3.08    ,0.62   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT6854 ,7.69    ,1.56   ,16230.50   ,1  ,
P1RLV58    ,1 ,0.42  ,5.82    ,1.18   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT6854 ,14.54   ,2.95   ,34707.09   ,1  ,
P1RLV59    ,1 ,0.42  ,4.84    ,0.98   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT1528 ,12.09   ,2.46   ,28860.24   ,1  ,
P1RLV60    ,1 ,0.42  ,5.51    ,1.12   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT3039 ,13.77   ,2.80   ,32864.66   ,1  ,
P1RLV61    ,1 ,0.42  ,6.42    ,1.30   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT3039 ,16.05   ,3.26   ,38318.20   ,2  ,
P1RLV62    ,1 ,0.42  ,5.50    ,1.12   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT3039 ,13.76   ,2.79   ,32846.41   ,1  ,
P1RLV63    ,1 ,0.42  ,1.76    ,0.36   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT3039 ,4.41    ,0.89   ,9235.97    ,1  ,
P1RLV64    ,1 ,0.42  ,6.60    ,1.34   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT6854 ,16.51   ,3.35   ,39401.11   ,2  ,
P1RLV65    ,1 ,0.42  ,6.15    ,1.25   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT6854 ,15.37   ,3.12   ,36683.44   ,2  ,
P1RLV66    ,1 ,0.42  ,5.98    ,1.21   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT6854 ,14.96   ,3.04   ,35700.12   ,2  ,
P1RLV67    ,1 ,0.42  ,6.42    ,1.30   ,P1RHS0_1247 ,P1RHS0_1247 -> P1RDT6854 ,16.04   ,3.26   ,38294.15   ,2  ,
P1RLV68    ,1 ,0.42  ,4.96    ,1.01   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT6561 ,12.41   ,2.52   ,29629.26   ,1  ,
P1RLV69    ,1 ,0.42  ,5.56    ,1.13   ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT7147 ,13.90   ,2.82   ,33171.46   ,1  ,
P1RLV70    ,1 ,0.42  ,5.04    ,1.02   ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT7147 ,12.61   ,2.56   ,30099.98   ,1  ,
P1RLV71    ,1 ,0.42  ,5.60    ,1.14   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,14.01   ,2.84   ,33438.61   ,1  ,
P1RLV72    ,3 ,0.42  ,88.90   ,29.22  ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8208 ,222.24  ,73.05  ,564496.90  ,1  ,
P1RLV73    ,1 ,0.42  ,5.76    ,1.17   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8208 ,14.39   ,2.92   ,34348.73   ,1  ,
P1RLV74    ,1 ,0.42  ,5.43    ,1.10   ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT1339 ,13.56   ,2.75   ,32376.98   ,1  ,
P1RLV75    ,1 ,0.42  ,6.44    ,1.31   ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT1339 ,16.11   ,3.27   ,38444.71   ,2  ,
P1RLV76    ,1 ,0.42  ,4.97    ,1.01   ,P1RHS2_1247 ,P1RHS2_1247 -> P1RDT3039 ,12.42   ,2.52   ,29642.61   ,1  ,
P1RLV77    ,1 ,0.42  ,3.82    ,1.26   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT6561 ,9.56    ,3.14   ,24288.85   ,1  ,
P1RLV78    ,1 ,0.42  ,5.96    ,1.21   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT6561 ,14.90   ,3.03   ,35571.77   ,2  ,
P1RLV79    ,1 ,0.42  ,5.16    ,1.05   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT476  ,12.91   ,2.62   ,30806.65   ,1  ,
P1RLV80    ,1 ,0.42  ,4.84    ,0.98   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT476  ,12.09   ,2.46   ,28860.31   ,1  ,
P1RLV81    ,1 ,0.42  ,6.26    ,1.27   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT476  ,15.64   ,3.18   ,37339.45   ,2  ,
P1RLV82    ,1 ,0.42  ,5.93    ,1.20   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT476  ,14.84   ,3.01   ,35413.32   ,1  ,
P1RLV83    ,1 ,0.42  ,5.11    ,1.04   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT476  ,12.78   ,2.59   ,30499.73   ,1  ,
P1RLV84    ,1 ,0.42  ,5.21    ,1.06   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT476  ,13.01   ,2.64   ,31067.52   ,1  ,
P1RLV85    ,1 ,0.42  ,3.57    ,1.17   ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT8064 ,8.93    ,2.94   ,22690.91   ,1  ,
P1RLV86    ,1 ,0.42  ,5.37    ,1.09   ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT8064 ,13.43   ,2.73   ,32054.83   ,1  ,
P1RLV87    ,1 ,0.42  ,6.77    ,1.37   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT476  ,16.91   ,3.43   ,40374.25   ,2  ,
P1RLV88    ,1 ,0.42  ,2.41    ,0.79   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT6561 ,6.04    ,1.98   ,15333.65   ,1  ,
P1RLV89    ,1 ,0.42  ,2.02    ,0.67   ,P1RHS6_1247 ,P1RHS6_1247 -> P1RDT6561 ,5.06    ,1.66   ,12856.45   ,1  ,
P1RLV90    ,1 ,0.42  ,6.22    ,1.26   ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT7748 ,15.55   ,3.16   ,37111.08   ,2  ,
P1RLV91    ,1 ,0.42  ,3.63    ,0.74   ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT7748 ,9.08    ,1.84   ,20248.45   ,1  ,
P1RLV92    ,1 ,0.42  ,4.75    ,0.96   ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT7748 ,11.87   ,2.41   ,28341.32   ,1  ,
P1RLV93    ,1 ,0.42  ,5.88    ,1.19   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,14.70   ,2.99   ,35090.73   ,1  ,
P1RLV94    ,1 ,0.42  ,1.41    ,0.46   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8207 ,3.53    ,1.16   ,8966.63    ,1  ,
P1RLV95    ,1 ,0.42  ,5.51    ,1.12   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8207 ,13.77   ,2.80   ,32880.53   ,1  ,
P1RLV96    ,1 ,0.42  ,5.13    ,1.04   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8207 ,12.81   ,2.60   ,30589.82   ,1  ,
P1RLV97    ,1 ,0.42  ,6.01    ,1.22   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8207 ,15.03   ,3.05   ,35874.47   ,2  ,
P1RLV98    ,3 ,0.42  ,27.09   ,5.50   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8207 ,67.73   ,13.75  ,213748.60  ,1  ,
P1RLV99    ,1 ,0.42  ,6.29    ,1.28   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8207 ,15.73   ,3.19   ,37545.81   ,2  ,
P1RLV100   ,1 ,0.42  ,3.83    ,0.78   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2874 ,9.58    ,1.95   ,33071.32   ,1  ,
P1RLV101   ,1 ,0.42  ,5.58    ,1.13   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2874 ,13.94   ,2.83   ,33271.48   ,1  ,
P1RLV102   ,1 ,0.42  ,3.51    ,1.15   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,8.77    ,2.88   ,22282.27   ,1  ,
P1RLV103   ,1 ,0.42  ,5.78    ,1.17   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8208 ,14.45   ,2.93   ,34483.01   ,1  ,
P1RLV104   ,1 ,0.42  ,5.01    ,1.02   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,12.53   ,2.54   ,29900.32   ,1  ,
P1RLV105   ,1 ,0.42  ,5.54    ,1.12   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,13.84   ,2.81   ,33032.20   ,1  ,
P1RLV106   ,1 ,0.42  ,5.17    ,1.05   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,12.91   ,2.62   ,30828.33   ,1  ,
P1RLV107   ,1 ,0.42  ,17.14   ,3.48   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,42.86   ,8.70   ,163838.60  ,7  ,
P1RLV108   ,1 ,0.42  ,5.84    ,1.19   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,14.61   ,2.97   ,34880.89   ,1  ,
P1RLV109   ,1 ,0.42  ,5.31    ,1.08   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8208 ,13.27   ,2.69   ,31676.87   ,1  ,
P1RLV110   ,1 ,0.42  ,6.29    ,1.28   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8208 ,15.72   ,3.19   ,37514.82   ,2  ,
P1RLV111   ,1 ,0.42  ,4.50    ,0.91   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8208 ,11.26   ,2.29   ,26565.38   ,1  ,
P1RLV112   ,1 ,0.42  ,6.27    ,1.27   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,15.69   ,3.19   ,37444.38   ,2  ,
P1RLV113   ,1 ,0.42  ,6.29    ,1.28   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT3467 ,15.73   ,3.19   ,37553.13   ,2  ,
P1RLV114   ,1 ,0.42  ,4.91    ,1.00   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2378 ,12.26   ,2.49   ,29277.35   ,1  ,
P1RLV115   ,1 ,0.42  ,4.76    ,0.97   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2378 ,11.89   ,2.42   ,28393.06   ,1  ,
P1RLV116   ,1 ,0.42  ,5.97    ,1.21   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2378 ,14.93   ,3.03   ,35643.23   ,2  ,
P1RLV117   ,1 ,0.42  ,5.34    ,1.08   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2378 ,13.35   ,2.71   ,31879.11   ,1  ,
P1RLV118   ,1 ,0.42  ,3.06    ,1.00   ,P1RHS5_1247 ,P1RHS5_1247 -> P1RDT1339 ,7.64    ,2.51   ,19403.65   ,1  ,
P1RLV119   ,1 ,0.42  ,5.31    ,1.08   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8208 ,13.28   ,2.70   ,31692.03   ,1  ,
P1RLV120   ,1 ,0.42  ,6.16    ,1.25   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2378 ,15.41   ,3.13   ,36789.20   ,2  ,
P1RLV121   ,1 ,0.42  ,3.10    ,0.63   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2378 ,7.75    ,1.57   ,16388.98   ,1  ,
P1RLV122   ,1 ,0.42  ,7.39    ,1.50   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT8208 ,18.48   ,3.75   ,44115.97   ,3  ,
P1RLV123   ,1 ,0.42  ,5.83    ,1.18   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2378 ,14.58   ,2.96   ,34796.99   ,1  ,
P1RLV124   ,1 ,0.42  ,6.70    ,1.36   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2874 ,16.76   ,3.40   ,39999.53   ,2  ,
P1RLV125   ,1 ,0.42  ,3.58    ,1.18   ,P1RHS3_1247 ,P1RHS3_1247 -> P1RDT2874 ,8.96    ,2.94   ,22750.13   ,1  ,
P1RLV126   ,1 ,0.42  ,4.72    ,0.96   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,11.81   ,2.40   ,28156.31   ,1  ,
P1RLV127   ,1 ,0.42  ,1.67    ,0.34   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,4.18    ,0.85   ,8766.96    ,1  ,
P1RLV128   ,1 ,0.42  ,4.90    ,1.61   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,12.24   ,4.02   ,31085.64   ,1  ,
P1RLV129   ,1 ,0.42  ,4.96    ,1.01   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6578 ,12.39   ,2.52   ,29585.40   ,1  ,
P1RLV130   ,1 ,0.42  ,5.39    ,1.09   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,13.47   ,2.74   ,32152.59   ,1  ,
P1RLV131   ,1 ,0.42  ,5.51    ,1.12   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT2397 ,13.77   ,2.80   ,32874.99   ,1  ,
P1RLV132   ,1 ,0.42  ,4.98    ,1.01   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,12.45   ,2.53   ,29708.29   ,1  ,
P1RLV133   ,1 ,0.42  ,6.42    ,1.30   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT2300 ,16.05   ,3.26   ,38304.09   ,2  ,
P1RLV134   ,1 ,0.42  ,7.33    ,1.49   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT2300 ,18.33   ,3.72   ,43746.71   ,3  ,
P1RLV135   ,1 ,0.42  ,7.07    ,1.44   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT2300 ,17.67   ,3.59   ,42177.03   ,2  ,
P1RLV136   ,1 ,0.42  ,2.02    ,0.66   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT6634 ,5.04    ,1.66   ,12814.43   ,1  ,
P1RLV137   ,1 ,0.42  ,5.57    ,1.13   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT5979 ,13.92   ,2.83   ,33229.94   ,1  ,
P1RLV138   ,1 ,0.42  ,6.44    ,1.31   ,P1RHS1_1247 ,P1RHS1_1247 -> P1RDT5979 ,16.09   ,3.27   ,38416.63   ,2  ,
P1RLV139   ,1 ,0.42  ,10.44   ,2.12   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT6999 ,26.11   ,5.30   ,62331.88   ,5  ,
P1RLV140   ,1 ,0.42  ,4.27    ,0.87   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT6999 ,10.66   ,2.17   ,24843.76   ,1  ,
P1RLV141   ,1 ,0.42  ,0.24    ,0.08   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,0.59    ,0.19   ,1506.11    ,1  ,
P1RLV142   ,1 ,0.42  ,8.60    ,1.75   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,21.50   ,4.36   ,51312.26   ,4  ,
P1RLV143   ,1 ,0.42  ,2.91    ,0.96   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,7.26    ,2.39   ,18451.63   ,1  ,
P1RLV144   ,1 ,0.42  ,5.79    ,1.18   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,14.48   ,2.94   ,34567.40   ,1  ,
P1RLV145   ,1 ,0.42  ,8.66    ,2.85   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,21.65   ,7.12   ,54990.78   ,1  ,
P1RLV146   ,1 ,0.42  ,7.79    ,1.58   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5851 ,19.46   ,3.95   ,46460.13   ,3  ,
P1RLV147   ,1 ,0.42  ,6.72    ,1.37   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,16.81   ,3.41   ,40129.43   ,2  ,
P1RLV148   ,1 ,0.42  ,9.73    ,1.97   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT4715 ,24.31   ,4.94   ,58040.48   ,4  ,
P1RLV149   ,1 ,0.42  ,4.80    ,0.98   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT2300 ,12.01   ,2.44   ,28672.77   ,1  ,
P1RLV150   ,1 ,0.42  ,1.45    ,0.30   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5185 ,3.64    ,0.74   ,7646.75    ,1  ,
P1RLV151   ,1 ,0.42  ,6.65    ,1.35   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5185 ,16.63   ,3.38   ,39703.04   ,2  ,
P1RLV152   ,1 ,0.42  ,6.63    ,1.35   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,16.56   ,3.36   ,39540.95   ,2  ,
P1RLV153   ,1 ,0.42  ,5.98    ,1.21   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5185 ,14.95   ,3.04   ,35693.99   ,2  ,
P1RLV154   ,1 ,0.42  ,8.01    ,1.63   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,20.02   ,4.07   ,47790.78   ,3  ,
P1RLV155   ,1 ,0.42  ,2.00    ,0.66   ,P1RHS4_1247 ,P1RHS4_1247 -> P1RDT5481 ,5.00    ,1.64   ,12688.08   ,1  ,
